last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Quintana, José,L,78.8,91.3,,77.9,,,59.8
Pérez, Cionel,L,78.7,,,,,57.8,
Sherfy, Jimmie,R,78.6,,,78.1,,46.8,43.6
Stock, Robert,R,78.6,,,,,63.4,
Johnson, DJ,R,78.6,,,,,,61.5
Armstrong, Shawn,R,78.5,,45,,,58.6,
Nova, Iván,R,78.5,88.9,36.9,87.6,,,39.7
Anderson, Tanner,R,78.4,72.5,,88.2,,10.4,
Peters, Dillon,L,78.4,85.3,,82.2,,22.3,70.1
Underwood Jr., Duane,R,78.4,,,81.4,,,70.4
Graterol, Brusdar,R,78.3,83.4,,,,44.2,
Norris, Daniel,L,78.3,80.9,,69.2,,26.7,78.4
Skaggs, Tyler,L,78.3,,,71.3,,,92.3
Kahnle, Tommy,R,78.3,,,86.2,,41.4,
Chen, Wei-Yin,L,78.2,86,,73.7,,38,71.6
Familia, Jeurys,R,78.2,90.3,,,,17.5,
Suarez, José,L,78.2,,,58.4,,20.4,61.1
Ross, Joe,R,78.1,87.8,,89.8,,25.1,29.9
Samardzija, Jeff,R,78.1,86,47.7,,,29.9,59.3
Martin, Chris,R,78.1,87.9,32.1,65.4,,33,
Wick, Rowan,R,78,,,,,34.1,91.9
Kikuchi, Yusei,L,78,,,72.5,,22.8,74.6
