last_name, first_name,player_id,year,player_age,ff_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,
Gausman, Kevin,592332,2019,28,93.9,82.3,82.6,,
Gonzalez, Chi Chi,592346,2019,27,92.4,82,86.5,,
Gray, Jon,592351,2019,28,96,88.3,86.7,78.6,
Hembree, Heath,592390,2019,30,93.6,87.5,,81.7,
Jackson, Luke,592426,2019,28,96.1,87.7,83.7,83.8,
Kahnle, Tommy,592454,2019,30,96.5,83.3,90,,
Kingham, Nick,592468,2019,28,91.9,82,85.1,80.1,
Kolarek, Adam,592473,2019,30,91.6,75.7,81.4,,
Osich, Josh,592612,2019,31,94.4,77.9,84.1,,
Plutko, Adam,592644,2019,28,91.1,80,84.1,77.3,
Ray, Robbie,592662,2019,28,92.4,84.2,,81.6,
Sadzeck, Connor,592712,2019,28,96.4,89.9,90.6,,
Sampson, Adrian,592716,2019,28,,83.9,87.4,79.3,
Sanchez, Aaron,592717,2019,27,93.4,,88,78.4,
Smith, Caleb,592761,2019,28,91.6,83.5,82.6,,
Smyly, Drew,592767,2019,30,91.2,,82.5,77.4,
Stanek, Ryne,592773,2019,28,97.5,89.6,,,
Stewart, Brock,592779,2019,28,91.7,83.6,82.7,,
Syndergaard, Noah,592789,2019,27,97.8,89.1,91.1,80.4,
Taillon, Jameson,592791,2019,28,94.7,88.7,88,82.2,
Thornburg, Tyler,592804,2019,31,93.7,,85.5,78.3,
Tuivailala, Sam,592815,2019,27,93.5,86.8,,78.8,
Velasquez, Vince,592826,2019,27,94.2,86.4,,83.1,
Wick, Rowan,592858,2019,27,95.8,83.5,,76.9,
Williams, Taylor,592865,2019,28,95.3,86.3,89.6,,
Williams, Trevor,592866,2019,27,91.7,82.9,83.6,76.7,
Wojciechowski, Asher,592879,2019,31,91.5,80.6,85.4,,
Feliz, Michael,593140,2019,26,95.1,81.8,86.1,,
Rodriguez, Richard,593144,2019,29,93.2,81.6,86.9,,
German, Domingo,593334,2019,27,93.4,,87,81.7,
Martinez, Carlos,593372,2019,28,96.6,86.1,88.1,,
Montas, Frankie,593423,2019,26,96.8,88.4,,,
Neris, Hector,593576,2019,30,94.4,,,,
Ynoa, Gabriel,593679,2019,26,93.4,84,85.9,79.9,
Suero, Wander,593833,2019,28,94.5,,87.5,79.5,
Rodriguez, Eduardo,593958,2019,26,93,84.7,87.6,82.3,
Peralta, Wandy,593974,2019,28,95.8,87.5,87.4,,
Guerrero, Tayron,594027,2019,28,98.9,87.3,,,
Gustave, Jandel,594311,2019,27,96.1,85.4,,,
Mayers, Mike,594577,2019,28,94.8,85.7,89.2,76.8,
Dayton, Grant,594795,2019,32,90.6,90.8,,75.4,
deGrom, Jacob,594798,2019,31,96.9,92.4,90.2,84.3,
Gonzales, Marco,594835,2019,27,88.1,,81.2,76.3,
Grace, Matt,594840,2019,31,,83.4,85.3,77.8,
Ponce de Leon, Daniel,594965,2019,27,93.3,84.4,83.1,77.9,
Ryan, Kyle,594986,2019,28,89.8,,84.3,79.8,
Sadler, Casey,594987,2019,29,93.3,,86.8,81.7,
Smith, Josh A.,595001,2019,32,91.3,86.9,81.7,78,
Treinen, Blake,595014,2019,31,97,88.5,,,
Eickhoff, Jerad,595191,2019,29,89.4,83.8,,74.6,
Winkler, Dan,595465,2019,29,92.1,,,83.3,
Alaniz, R.J.,595798,2019,28,93.7,85.7,86.7,83.4,
Beede, Tyler,595881,2019,26,94.2,86.3,83.9,80.3,
Cole, A.J.,595918,2019,27,94.4,83.8,86.5,78.8,
Junis, Jakob,596001,2019,27,91.7,82.4,84.6,79.3,
Maples, Dillon,596027,2019,27,96.7,89.5,,84.8,
McClain, Reggie,596035,2019,27,,84,87.8,,
Mengden, Daniel,596043,2019,26,91.5,83.4,82.9,72.5,
Norris, Daniel,596057,2019,26,90.8,84.3,85.7,75.8,
Peters, Dillon,596071,2019,27,91,82.9,84,76.7,
Shafer, Justin,596101,2019,27,94.3,85.6,,,
Stephenson, Robert,596112,2019,26,94.9,84.5,,,
Weaver, Luke,596133,2019,26,93.8,,84.5,81.3,
Neverauskas, Dovydas,596720,2019,26,95.8,,91.3,84.2,
Johnson, DJ,597113,2019,30,93.2,,83.9,82.5,
Barnes, Matt,598264,2019,29,96.6,,,85.5,
Johnson, Brian,598271,2019,29,88.9,77.6,84.1,74.9,
Ramirez, Nick,598286,2019,30,90,,79.1,78.3,
Ramirez, Noe,598287,2019,30,89.1,,84.2,77.7,
Leclerc, Jose,600917,2019,26,96.8,82,89.8,76.9,
Rosario, Randy,600968,2019,25,94.4,87.1,,80.5,
Pivetta, Nick,601713,2019,26,94.6,85.7,87.5,80.5,
Anderson, Justin,605121,2019,27,94.6,84.5,88,,
Barlow, Scott,605130,2019,27,94.1,83.7,87.3,77.2,
Bassitt, Chris,605135,2019,30,93.9,79.2,85,70.3,
Black, Ray,605143,2019,29,98.2,86,,,
Bradley, Archie,605151,2019,27,95.5,,88.4,82.1,
Brebbia, John,605154,2019,29,93.5,83.7,87.2,,
Brewer, Colten,605155,2019,27,95.4,88.3,89.3,82,
Brooks, Aaron,605156,2019,29,92,85.6,84.7,78.6,
Bundy, Dylan,605164,2019,27,91.1,81.1,83.4,74.8,
Chafin, Andrew,605177,2019,29,93.6,84.4,,,
Clevinger, Mike,605182,2019,29,95.4,80.7,87.1,77.6,
Crick, Kyle,605195,2019,27,95.3,81.5,89,,
Davies, Zach,605200,2019,26,,80.4,80,75.5,
Edwards Jr., Carl,605218,2019,28,93.9,,87.8,79.2,
Fry, Jace,605240,2019,26,92.9,,86.1,78.4,
Guerrieri, Taylor,605260,2019,27,93.8,,86.8,80.5,
Hess, David,605276,2019,26,93,83.4,85.5,77.3,
Holmes, Clay,605280,2019,26,94,86.8,87.1,81.6,
Houser, Adrian,605288,2019,26,94.5,87.9,85.4,80.6,
Kela, Keone,605309,2019,26,96.2,,90.4,81.8,
Lopez, Jorge,605347,2019,26,94.3,88.4,87.5,81.7,
Marshall, Evan,605359,2019,29,93.7,,87.6,83.2,
Morgan, Adam,605388,2019,29,92.8,81.3,83.5,77.2,
Musgrove, Joe,605397,2019,27,92.7,83.2,85.3,82.1,
Nola, Aaron,605400,2019,26,93.1,,85.8,79.1,
Rios, Yacksel,605441,2019,26,96.2,86,88.5,84.4,
Rodriguez, Dereck,605446,2019,27,90.7,,84.5,75.6,
Romano, Jordan,605447,2019,26,94.6,84.7,,,
Ross, Joe,605452,2019,26,94.1,88,87.9,81.3,
Scott, Tayler,605463,2019,27,94.7,88.9,,,
Shepherd, Chandler,605469,2019,27,92.1,86,85.9,81.8,
Smith, Josh D.,605479,2019,30,90.6,80.2,84.6,,
Sneed, Cy,605482,2019,27,92.5,81.7,79.6,79.2,
Snell, Blake,605483,2019,27,95.5,87.3,86.3,81,
Springs, Jeffrey,605488,2019,27,92.1,83.7,80.3,,
Suarez, Andrew,605498,2019,27,92.6,84.4,87.1,76,
Tarpley, Stephen,605501,2019,26,92.5,81.4,87.4,76.9,
Turnbull, Spencer,605513,2019,27,93.6,86.5,86.6,80.3,
Wendelken, J.B.,605525,2019,26,94.8,85.1,86.4,80.2,
Wisler, Matt,605538,2019,27,92.9,83.5,,75.4,
Woodruff, Brandon,605540,2019,26,96.3,88.4,87,81.2,
Wright Jr., Mike,605541,2019,29,93.3,88.7,83.9,82.9,
Perdomo, Luis,606131,2019,26,95.1,86.6,,,
Gallegos, Giovanny,606149,2019,28,93.7,85.4,87.2,,
Montero, Rafael,606160,2019,29,95.9,85.1,89.9,,
Ramirez, Yefry,606162,2019,26,93.1,88.3,86.9,80.3,
Mejia, Adalberto,606167,2019,26,93,84.5,81.1,,
Elias, Roenis,606273,2019,31,93.9,,86.6,77.6,
Garcia, Jarlin,606424,2019,26,93.3,84.4,86.9,,
Moronta, Reyes,606625,2019,26,97.2,83.4,89.8,,
Barnes, Jacob,606930,2019,29,93.6,82.1,,,
Davis, Rookie,606959,2019,26,91.4,82.6,83.8,81,
Devenski, Chris,606965,2019,29,94.7,81.6,84,,
Rodon, Carlos,607074,2019,27,91.4,83.8,84.1,,
Faria, Jake,607188,2019,26,93.5,84.3,,,
Glasnow, Tyler,607192,2019,26,96.9,,92.6,83.5,
Fedde, Erick,607200,2019,26,89.3,,85.3,79.2,
Skoglund, Eric,607215,2019,27,89.8,,84.1,78.8,
Romano, Sal,607219,2019,26,95.3,87.1,,81.4,
Gsellman, Robert,607229,2019,26,95.7,90.5,87.2,81.3,
Gant, John,607231,2019,27,95.9,,83.1,77.1,
Garrett, Amir,607237,2019,27,95.8,85.8,,,
Biagini, Joe,607352,2019,29,93.8,,87.1,77,
Tropeano, Nick,607374,2019,29,90.8,78.9,81.6,,
Mazza, Chris,607391,2019,30,90.6,82,84.5,,
Barraclough, Kyle,607457,2019,29,93.4,82.5,87.4,80.2,
Bradford, Chasen,607473,2019,30,90.6,84.7,84.4,,
Bummer, Aaron,607481,2019,26,95.1,84.9,89.9,,
Freeland, Kyle,607536,2019,26,92,86.7,86.6,81.2,
Guilbeau, Taylor,607555,2019,26,94.6,86.4,87.7,,
Harper, Ryne,607560,2019,30,89.3,,76.1,75.6,
Howard, Sam,607572,2019,26,92.6,85.1,,,
Lugo, Seth,607625,2019,30,94.5,88,87.9,79.6,
Means, John,607644,2019,26,91.7,83.6,80.9,77,
Estevez, Carlos,608032,2019,27,97.8,87.7,90.5,,
Fried, Max,608331,2019,25,93.8,83.7,84.8,74.5,
Fulmer, Carson,608334,2019,26,93.6,,86.5,82.8,
Giolito, Lucas,608337,2019,25,94.2,84.6,81.7,79.4,
Irvin, Cole,608344,2019,25,89.8,84.2,83.4,76.4,
Sims, Lucas,608371,2019,25,93.5,83.3,86.5,81.6,
Wacha, Michael,608379,2019,28,93,,85.5,75.3,
Marquez, German,608566,2019,24,95.7,87.4,87.8,84.9,
Chargois, JT,608638,2019,29,95.5,86.8,,,
Duffey, Tyler,608648,2019,29,93.9,,86,82.3,
Leone, Dominic,608678,2019,28,94.3,83.7,88.1,,
Steckenrider, Drew,608716,2019,28,94.7,,,82.6,
Stratton, Chris,608717,2019,29,92.2,84.5,84.8,77.1,
Suter, Brent,608718,2019,30,87.5,,80.5,74,
Voth, Austin,608723,2019,27,92.7,86.7,86,79.5,
Castro, Miguel,612434,2019,25,,86.1,90.6,,
Chen, Wei-Yin,612672,2019,34,91.4,85.8,84,74.1,
Bird, Kyle,613317,2019,26,91.3,79.9,,,
Adams, Austin,613534,2019,28,95.1,89.4,,,
Ruiz, Jose,614179,2019,25,96.4,88.3,86.9,82.1,
Quantrill, Cal,615698,2019,24,94.5,86.4,84.6,79.5,
Wood, Hunter,621056,2019,26,93.6,86.6,86.2,76.7,
Marvel, James,621086,2019,26,90.3,,84.5,79.6,
Waguespack, Jacob,621097,2019,26,92.3,85.8,83,78.7,
Eflin, Zach,621107,2019,25,93.8,87.1,86.7,77.9,
Buehler, Walker,621111,2019,25,96.5,86.8,91.6,80.7,
Blackburn, Paul,621112,2019,26,90,86.9,84.9,79,
Burr, Ryan,621114,2019,25,95,83.1,,,
Lockett, Walker,621141,2019,25,92.5,,86.4,80,
Buttrey, Ty,621142,2019,26,97.1,83.8,87.6,,
Bowman, Matt,621199,2019,28,92.5,89.3,,80.6,
Mills, Alec,621219,2019,28,89.5,78.2,80.7,67.6,
Alvarado, Jose,621237,2019,24,98,,,86.8,
Diaz, Edwin,621242,2019,25,97.5,89.5,,,
Berrios, Jose,621244,2019,25,93.1,,82.5,81.2,
Underwood Jr., Duane,621249,2019,25,94.8,,88.3,82,
Wittgren, Nick,621295,2019,28,92.3,83.7,85.6,78.4,
Minter, A.J.,621345,2019,26,96,86.3,86.1,,
Poche, Colin,621363,2019,25,92.9,,,83.9,
